  0.389, -0.400,  9.738
  0.387, -0.397,  9.741
  0.388, -0.395,  9.743
  0.388, -0.395,  9.743
  0.387, -0.392,  9.740
  0.389, -0.395,  9.741
  0.389, -0.395,  9.741
  0.389, -0.399,  9.746
  0.386, -0.400,  9.750
  0.382, -0.403,  9.753
  0.381, -0.400,  9.750
  0.383, -0.398,  9.744
  0.386, -0.397,  9.738
  0.386, -0.397,  9.738
  0.388, -0.395,  9.734
  0.387, -0.398,  9.732
  0.387, -0.398,  9.732
  0.385, -0.399,  9.733
  0.383, -0.401,  9.735
  0.380, -0.402,  9.741
  0.380, -0.402,  9.741
  0.380, -0.401,  9.747
  0.380, -0.401,  9.753
  0.380, -0.401,  9.753
  0.381, -0.400,  9.752
  0.381, -0.400,  9.752
  0.381, -0.398,  9.750
  0.379, -0.398,  9.747
  0.379, -0.398,  9.747
  0.376, -0.395,  9.744
  0.376, -0.395,  9.744
  0.374, -0.392,  9.744
  0.374, -0.392,  9.746
  0.374, -0.392,  9.746
  0.377, -0.388,  9.749
  0.377, -0.388,  9.749
  0.380, -0.389,  9.748
  0.384, -0.389,  9.749
  0.384, -0.389,  9.749
  0.385, -0.392,  9.744
  0.385, -0.392,  9.744
  0.386, -0.395,  9.741
  0.385, -0.399,  9.739
  0.385, -0.399,  9.739
  0.388, -0.403,  9.740
  0.388, -0.403,  9.740
  0.385, -0.403,  9.746
  0.385, -0.403,  9.746
  0.389, -0.403,  9.753
  0.387, -0.400,  9.758
  0.387, -0.400,  9.758
  0.391, -0.399,  9.760
  0.391, -0.399,  9.760
  0.394, -0.399,  9.757
  0.396, -0.399,  9.749
  0.396, -0.399,  9.749
  0.395, -0.400,  9.744
  0.395, -0.400,  9.744
  0.391, -0.403,  9.738
  0.386, -0.406,  9.736
  0.386, -0.406,  9.736
  0.381, -0.409,  9.740
  0.381, -0.409,  9.740
  0.380, -0.411,  9.742
  0.383, -0.408,  9.747
  0.383, -0.408,  9.747
  0.386, -0.406,  9.750
  0.386, -0.406,  9.750
  0.395, -0.405,  9.749
  0.401, -0.401,  9.750
  0.401, -0.401,  9.750
  0.405, -0.402,  9.751
  0.405, -0.402,  9.751
  0.404, -0.398,  9.755
  0.401, -0.397,  9.755
  0.401, -0.397,  9.755
  0.396, -0.396,  9.759
  0.396, -0.396,  9.759
  0.392, -0.396,  9.755
  0.388, -0.394,  9.753
  0.388, -0.394,  9.753
  0.387, -0.395,  9.752
  0.387, -0.395,  9.752
  0.384, -0.391,  9.752
  0.384, -0.391,  9.752
  0.380, -0.393,  9.754
  0.379, -0.394,  9.759
  0.379, -0.394,  9.759
  0.379, -0.397,  9.762
  0.379, -0.397,  9.762
  0.383, -0.398,  9.765
  0.386, -0.395,  9.764
  0.386, -0.395,  9.764
  0.388, -0.393,  9.755
  0.388, -0.393,  9.755
  0.386, -0.391,  9.749
  0.383, -0.391,  9.744
  0.383, -0.391,  9.744
  0.379, -0.397,  9.744
  0.379, -0.397,  9.744
  0.378, -0.398,  9.749
  0.379, -0.397,  9.753
  0.379, -0.397,  9.753
  0.383, -0.397,  9.753
  0.383, -0.397,  9.753
  0.389, -0.392,  9.752
  0.391, -0.394,  9.747
  0.391, -0.394,  9.747
  0.393, -0.395,  9.746
  0.393, -0.395,  9.746
  0.392, -0.397,  9.747
  0.390, -0.401,  9.747
  0.390, -0.401,  9.747
  0.388, -0.400,  9.748
  0.388, -0.400,  9.748
  0.388, -0.402,  9.749
  0.386, -0.399,  9.745
  0.386, -0.399,  9.745
  0.388, -0.398,  9.748
  0.388, -0.398,  9.748
  0.388, -0.398,  9.747
  0.388, -0.398,  9.747
  0.386, -0.399,  9.747
  0.386, -0.400,  9.748
  0.386, -0.400,  9.748
  0.386, -0.401,  9.750
  0.386, -0.401,  9.750
  0.388, -0.403,  9.752
  0.394, -0.403,  9.759
  0.394, -0.403,  9.759
  0.399, -0.403,  9.758
  0.399, -0.403,  9.758
  0.401, -0.401,  9.756
  0.400, -0.394,  9.748
  0.400, -0.394,  9.748
  0.397, -0.392,  9.741
  0.397, -0.392,  9.741
  0.391, -0.389,  9.737
  0.389, -0.389,  9.738
  0.389, -0.389,  9.738
  0.387, -0.393,  9.743
  0.387, -0.393,  9.743
  0.389, -0.395,  9.747
  0.391, -0.397,  9.746
  0.391, -0.397,  9.746
  0.394, -0.397,  9.747
  0.394, -0.397,  9.747
  0.391, -0.394,  9.740
  0.391, -0.393,  9.740
  0.391, -0.393,  9.740
  0.388, -0.392,  9.734
  0.388, -0.392,  9.734
  0.387, -0.394,  9.735
  0.387, -0.394,  9.735
  0.387, -0.395,  9.739
  0.388, -0.397,  9.740
  0.388, -0.397,  9.740
  0.391, -0.397,  9.746
  0.391, -0.397,  9.746
  0.388, -0.400,  9.747
  0.389, -0.404,  9.746
  0.389, -0.404,  9.746
  0.385, -0.407,  9.745
  0.385, -0.407,  9.745
  0.386, -0.408,  9.744
  0.387, -0.403,  9.746
  0.387, -0.403,  9.746
  0.388, -0.398,  9.749
  0.388, -0.398,  9.749
  0.390, -0.392,  9.751
  0.387, -0.390,  9.753
  0.387, -0.390,  9.753
  0.387, -0.390,  9.753
  0.387, -0.390,  9.753
  0.384, -0.394,  9.751
  0.386, -0.400,  9.752
  0.386, -0.400,  9.752
  0.386, -0.404,  9.750
  0.386, -0.404,  9.750
  0.386, -0.406,  9.753
  0.389, -0.406,  9.756
  0.389, -0.406,  9.756
  0.390, -0.405,  9.757
  0.390, -0.405,  9.757
  0.391, -0.404,  9.759
  0.391, -0.404,  9.758
  0.391, -0.404,  9.758
  0.388, -0.403,  9.753
  0.388, -0.403,  9.753
  0.386, -0.401,  9.748
  0.386, -0.401,  9.748
  0.386, -0.399,  9.744
  0.390, -0.398,  9.745
  0.390, -0.398,  9.745
  0.392, -0.395,  9.746
  0.392, -0.395,  9.746
  0.395, -0.395,  9.752
  0.395, -0.394,  9.752
  0.395, -0.394,  9.752
  0.392, -0.394,  9.752
  0.392, -0.394,  9.752
  0.389, -0.394,  9.753
  0.388, -0.395,  9.749
  0.388, -0.395,  9.749
  0.385, -0.395,  9.751
  0.385, -0.395,  9.751
  0.385, -0.395,  9.750
  0.383, -0.394,  9.751
  0.383, -0.394,  9.751
  0.385, -0.394,  9.749
  0.385, -0.394,  9.749
  0.386, -0.391,  9.746
  0.388, -0.394,  9.739
  0.388, -0.394,  9.739
  0.390, -0.395,  9.737
  0.390, -0.395,  9.737
  0.391, -0.398,  9.738
  0.392, -0.401,  9.742
  0.392, -0.401,  9.742
  0.392, -0.404,  9.747
  0.392, -0.404,  9.747
